Time Period,RIFLGFCY30_N.B
12/3/07,4.34
12/4/07,4.34
12/5/07,4.39
12/6/07,4.49
12/7/07,4.58
12/10/07,4.6
12/11/07,4.47
12/12/07,4.51
12/13/07,4.61
12/14/07,4.66
12/17/07,4.62
12/18/07,4.55
12/19/07,4.47
12/20/07,4.46
12/21/07,4.58
12/24/07,4.62
12/25/07,ND
12/26/07,4.68
12/27/07,4.61
12/28/07,4.51
12/31/07,4.45
1/1/08,ND
1/2/08,4.35
1/3/08,4.37
1/4/08,4.36
1/7/08,4.34
1/8/08,4.35
1/9/08,4.32
1/10/08,4.44
1/11/08,4.39
1/14/08,4.37
1/15/08,4.28
1/16/08,4.32
1/17/08,4.25
1/18/08,4.28
1/21/08,ND
1/22/08,4.23
1/23/08,4.23
1/24/08,4.36
1/25/08,4.28
1/28/08,4.29
1/29/08,4.34
1/30/08,4.44
1/31/08,4.35
2/1/08,4.32
2/4/08,4.37
2/5/08,4.33
2/6/08,4.37
2/7/08,4.51
2/8/08,4.43
2/11/08,4.41
2/12/08,4.46
2/13/08,4.52
2/14/08,4.67
2/15/08,4.58
2/18/08,ND
2/19/08,4.66
2/20/08,4.65
2/21/08,4.54
2/22/08,4.58
2/25/08,4.67
2/26/08,4.66
2/27/08,4.65
2/28/08,4.55
2/29/08,4.41
3/3/08,4.42
3/4/08,4.52
3/5/08,4.6
3/6/08,4.57
3/7/08,4.55
3/10/08,4.45
3/11/08,4.53
3/12/08,4.4
3/13/08,4.47
3/14/08,4.35
3/17/08,4.29
3/18/08,4.35
3/19/08,4.22
3/20/08,4.17
3/21/08,ND
3/24/08,4.33
3/25/08,4.3
3/26/08,4.33
3/27/08,4.38
3/28/08,4.33
3/31/08,4.3
4/1/08,4.4
4/2/08,4.38
4/3/08,4.4
4/4/08,4.32
4/7/08,4.36
4/8/08,4.37
4/9/08,4.31
4/10/08,4.34
4/11/08,4.3
4/14/08,4.35
4/15/08,4.42
4/16/08,4.54
4/17/08,4.54
4/18/08,4.51
4/21/08,4.48
4/22/08,4.46
4/23/08,4.49
4/24/08,4.56
4/25/08,4.61
4/28/08,4.57
4/29/08,4.55
4/30/08,4.49
5/1/08,4.49
5/2/08,4.57
5/5/08,4.58
5/6/08,4.64
5/7/08,4.61
5/8/08,4.5
5/9/08,4.53
5/12/08,4.53
5/13/08,4.62
5/14/08,4.63
5/15/08,4.56
5/16/08,4.58
5/19/08,4.56
5/20/08,4.53
5/21/08,4.55
5/22/08,4.63
5/23/08,4.57
5/26/08,ND
5/27/08,4.65
5/28/08,4.71
5/29/08,4.76
5/30/08,4.72
6/2/08,4.68
6/3/08,4.63
6/4/08,4.71
6/5/08,4.75
6/6/08,4.65
6/9/08,4.64
6/10/08,4.7
6/11/08,4.72
6/12/08,4.77
6/13/08,4.79
6/16/08,4.77
6/17/08,4.78
6/18/08,4.72
6/19/08,4.76
6/20/08,4.71
6/23/08,4.71
6/24/08,4.65
6/25/08,4.65
6/26/08,4.62
6/27/08,4.53
6/30/08,4.53
7/1/08,4.55
7/2/08,4.51
7/3/08,4.53
7/4/08,ND
7/7/08,4.51
7/8/08,4.46
7/9/08,4.42
7/10/08,4.42
7/11/08,4.52
7/14/08,4.47
7/15/08,4.48
7/16/08,4.59
7/17/08,4.65
7/18/08,4.66
7/21/08,4.64
7/22/08,4.67
7/23/08,4.69
7/24/08,4.6
7/25/08,4.69
7/28/08,4.63
7/29/08,4.64
7/30/08,4.64
7/31/08,4.59
8/1/08,4.57
8/4/08,4.58
8/5/08,4.63
8/6/08,4.68
8/7/08,4.56
8/8/08,4.55
8/11/08,4.61
8/12/08,4.55
8/13/08,4.57
8/14/08,4.52
8/15/08,4.47
8/18/08,4.44
8/19/08,4.47
8/20/08,4.43
8/21/08,4.46
8/22/08,4.46
8/25/08,4.4
8/26/08,4.4
8/27/08,4.38
8/28/08,4.38
8/29/08,4.43
9/1/08,ND
9/2/08,4.36
9/3/08,4.32
9/4/08,4.27
9/5/08,4.27
9/8/08,4.26
9/9/08,4.2
9/10/08,4.23
9/11/08,4.2
9/12/08,4.32
9/15/08,4.12
9/16/08,4.08
9/17/08,4.08
9/18/08,4.14
9/19/08,4.36
9/22/08,4.41
9/23/08,4.43
9/24/08,4.4
9/25/08,4.4
9/26/08,4.36
9/29/08,4.13
9/30/08,4.31
10/1/08,4.22
10/2/08,4.16
10/3/08,4.11
10/6/08,3.99
10/7/08,4.01
10/8/08,4.09
10/9/08,4.14
10/10/08,4.15
10/13/08,ND
10/14/08,4.27
10/15/08,4.25
10/16/08,4.25
10/17/08,4.32
10/20/08,4.26
10/21/08,4.2
10/22/08,4.07
10/23/08,3.99
10/24/08,4.11
10/27/08,4.12
10/28/08,4.19
10/29/08,4.26
10/30/08,4.3
10/31/08,4.35
11/3/08,4.33
11/4/08,4.2
11/5/08,4.13
11/6/08,4.19
11/7/08,4.25
11/10/08,4.21
11/11/08,ND
11/12/08,4.17
11/13/08,4.34
11/14/08,4.22
11/17/08,4.2
11/18/08,4.14
11/19/08,3.96
11/20/08,3.64
11/21/08,3.7
11/24/08,3.78
11/25/08,3.63
11/26/08,3.54
11/27/08,ND
11/28/08,3.45
12/1/08,3.22
12/2/08,3.18
12/3/08,3.17
12/4/08,3.06
12/5/08,3.11
12/8/08,3.16
12/9/08,3.06
12/10/08,3.09
12/11/08,3.07
12/12/08,3.07
12/15/08,2.98
12/16/08,2.86
12/17/08,2.66
12/18/08,2.53
12/19/08,2.55
12/22/08,2.6
12/23/08,2.63
12/24/08,2.63
12/25/08,ND
12/26/08,2.61
12/29/08,2.63
12/30/08,2.58
12/31/08,2.69
1/1/09,ND
1/2/09,2.83
1/5/09,3
1/6/09,3.04
1/7/09,3.05
1/8/09,3.04
1/9/09,3.04
1/12/09,2.99
1/13/09,3
1/14/09,2.89
1/15/09,2.86
1/16/09,2.89
1/19/09,ND
1/20/09,2.97
1/21/09,3.15
1/22/09,3.25
1/23/09,3.32
1/26/09,3.39
1/27/09,3.26
1/28/09,3.44
1/29/09,3.57
1/30/09,3.58
2/2/09,3.47
2/3/09,3.64
2/4/09,3.65
2/5/09,3.63
2/6/09,3.7
2/9/09,3.69
2/10/09,3.54
2/11/09,3.45
2/12/09,3.47
2/13/09,3.68
2/16/09,ND
2/17/09,3.47
2/18/09,3.54
2/19/09,3.68
2/20/09,3.56
2/23/09,3.53
2/24/09,3.49
2/25/09,3.59
2/26/09,3.66
2/27/09,3.71
3/2/09,3.64
3/3/09,3.67
3/4/09,3.69
3/5/09,3.51
3/6/09,3.5
3/9/09,3.59
3/10/09,3.7
3/11/09,3.67
3/12/09,3.63
3/13/09,3.66
3/16/09,3.76
3/17/09,3.83
3/18/09,3.57
3/19/09,3.62
3/20/09,3.65
3/23/09,3.69
3/24/09,3.6
3/25/09,3.73
3/26/09,3.66
3/27/09,3.62
3/30/09,3.6
3/31/09,3.56
4/1/09,3.51
4/2/09,3.57
4/3/09,3.7
4/6/09,3.73
4/7/09,3.72
4/8/09,3.66
4/9/09,3.76
4/10/09,ND
4/13/09,3.69
4/14/09,3.64
4/15/09,3.66
4/16/09,3.72
4/17/09,3.79
4/20/09,3.69
4/21/09,3.74
4/22/09,3.82
4/23/09,3.8
4/24/09,3.89
4/27/09,3.84
4/28/09,3.97
4/29/09,4.01
4/30/09,4.05
5/1/09,4.09
5/4/09,4.06
5/5/09,4.06
5/6/09,4.09
5/7/09,4.25
5/8/09,4.28
5/11/09,4.18
5/12/09,4.16
5/13/09,4.09
5/14/09,4.06
5/15/09,4.09
5/18/09,4.18
5/19/09,4.21
5/20/09,4.14
5/21/09,4.3
5/22/09,4.38
5/25/09,ND
5/26/09,4.45
5/27/09,4.59
5/28/09,4.54
5/29/09,4.34
6/1/09,4.55
6/2/09,4.5
6/3/09,4.45
6/4/09,4.58
6/5/09,4.63
6/8/09,4.65
6/9/09,4.64
6/10/09,4.76
6/11/09,4.69
6/12/09,4.65
6/15/09,4.61
6/16/09,4.48
6/17/09,4.5
6/18/09,4.63
6/19/09,4.52
6/22/09,4.45
6/23/09,4.37
6/24/09,4.44
6/25/09,4.33
6/26/09,4.3
6/29/09,4.31
6/30/09,4.32
7/1/09,4.34
7/2/09,4.32
7/3/09,ND
7/6/09,4.35
7/7/09,4.31
7/8/09,4.17
7/9/09,4.31
7/10/09,4.2
7/13/09,4.25
7/14/09,4.38
7/15/09,4.48
7/16/09,4.45
7/17/09,4.53
7/20/09,4.47
7/21/09,4.38
7/22/09,4.45
7/23/09,4.58
7/24/09,4.55
7/27/09,4.62
